Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,Cluster
Regulation Of Protein Localization To Plasma Membrane (GO:1903076),2/80,0.145420812990944,0.274164837020469,0,0,3.05128205128205,5.88324887577193,ITGA3;AP2M1,1
Response To Type II Interferon (GO:0034341),2/80,0.145420812990944,0.274164837020469,0,0,3.05128205128205,5.88324887577193,IFITM1;DAPK1,1
Wound Healing (GO:0042060),2/80,0.145420812990944,0.274164837020469,0,0,3.05128205128205,5.88324887577193,TPM1;ERBB2,1
RNA Destabilization (GO:0050779),1/19,0.148151111890283,0.274164837020469,0,0,6.59148369926813,12.5865864309831,PUM1,1
Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043567),1/19,0.148151111890283,0.274164837020469,0,0,6.59148369926813,12.5865864309831,CDH3,1
Regulation Of Integrin-Mediated Signaling Pathway (GO:2001044),1/19,0.148151111890283,0.274164837020469,0,0,6.59148369926813,12.5865864309831,LAMC1,1
Regulation Of Lymphocyte Differentiation (GO:0045619),1/19,0.148151111890283,0.274164837020469,0,0,6.59148369926813,12.5865864309831,ZFP36L2,1
Regulation Of Megakaryocyte Differentiation (GO:0045652),1/19,0.148151111890283,0.274164837020469,0,0,6.59148369926813,12.5865864309831,HMGB2,1
Regulation Of Nuclear Division (GO:0051783),1/19,0.148151111890283,0.274164837020469,0,0,6.59148369926813,12.5865864309831,OBSL1,1
Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules (GO:0016338),1/19,0.148151111890283,0.274164837020469,0,0,6.59148369926813,12.5865864309831,CLDN10,1
Cardiac Ventricle Development (GO:0003231),1/19,0.148151111890283,0.274164837020469,0,0,6.59148369926813,12.5865864309831,HES1,1
Phosphate Ion Transport (GO:0006817),1/19,0.148151111890283,0.274164837020469,0,0,6.59148369926813,12.5865864309831,SLC34A2,1
Phosphatidylcholine Biosynthetic Process (GO:0006656),1/19,0.148151111890283,0.274164837020469,0,0,6.59148369926813,12.5865864309831,MUC1,1
Cellular Response To Misfolded Protein (GO:0071218),1/19,0.148151111890283,0.274164837020469,0,0,6.59148369926813,12.5865864309831,VCP,1
Pore Complex Assembly (GO:0046931),1/19,0.148151111890283,0.274164837020469,0,0,6.59148369926813,12.5865864309831,RTN4,1
Chondroitin Sulfate Proteoglycan Biosynthetic Process (GO:0050650),1/19,0.148151111890283,0.274164837020469,0,0,6.59148369926813,12.5865864309831,UGDH,1
Positive Regulation Of Activated T Cell Proliferation (GO:0042104),1/19,0.148151111890283,0.274164837020469,0,0,6.59148369926813,12.5865864309831,CD24,1
Positive Regulation Of Axon Extension (GO:0045773),1/19,0.148151111890283,0.274164837020469,0,0,6.59148369926813,12.5865864309831,L1CAM,1
Epithelial Structure Maintenance (GO:0010669),1/19,0.148151111890283,0.274164837020469,0,0,6.59148369926813,12.5865864309831,LSR,1
Establishment Of Skin Barrier (GO:0061436),1/19,0.148151111890283,0.274164837020469,0,0,6.59148369926813,12.5865864309831,LSR,1
Superoxide Anion Generation (GO:0042554),1/19,0.148151111890283,0.274164837020469,0,0,6.59148369926813,12.5865864309831,CYBA,1
Gastrulation (GO:0007369),1/19,0.148151111890283,0.274164837020469,0,0,6.59148369926813,12.5865864309831,UGDH,1
Xenobiotic Catabolic Process (GO:0042178),1/19,0.148151111890283,0.274164837020469,0,0,6.59148369926813,12.5865864309831,CRYZ,1
Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage By P53 Class Mediator (GO:0042771),1/19,0.148151111890283,0.274164837020469,0,0,6.59148369926813,12.5865864309831,TP53,1
Receptor Clustering (GO:0043113),1/19,0.148151111890283,0.274164837020469,0,0,6.59148369926813,12.5865864309831,PIGR,1
Regulation Of B Cell Differentiation (GO:0045577),1/19,0.148151111890283,0.274164837020469,0,0,6.59148369926813,12.5865864309831,ZFP36L2,1
Cytoskeleton-Dependent Cytokinesis (GO:0061640),2/81,0.148321702823573,0.274164837020469,0,0,3.01250571907885,5.74898064980142,SEPTIN2;RHOB,1
Positive Regulation Of Growth (GO:0045927),2/81,0.148321702823573,0.274164837020469,0,0,3.01250571907885,5.74898064980142,ERBB2;S100A9,1
Regulation Of Phosphorylation (GO:0042325),2/82,0.151234376331584,0.278855950410654,0,0,2.97469879518072,5.61898138789619,PLXNB2;CD24,1
Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557),2/82,0.151234376331584,0.278855950410654,0,0,2.97469879518072,5.61898138789619,CYBA;CLU,1
Phosphorylation (GO:0016310),6/429,0.153448259345739,0.279451503157044,0,0,1.6994133613519,3.18536653975695,DAPK1;ERBB2;PRKCA;FAM20A;ACVR1B;JAK1,1
Positive Regulation Of Intracellular Signal Transduction (GO:1902533),7/525,0.154099101556031,0.279451503157044,0,0,1.62111801242236,3.03174903584508,GJA1;ERBB2;TNFSF10;S100A9;TP53;RTN4;LTF,1
Vesicle-Mediated Transport To The Plasma Membrane (GO:0098876),2/83,0.154158434432463,0.279451503157044,0,0,2.93782537557638,5.49307070947477,ARL4C;RAB13,1
Negative Regulation Of Protein Localization To Cell Periphery (GO:1904376),1/20,0.155313436230427,0.279451503157044,0,0,6.24424834541444,11.6287263526142,AP2M1,1
Negative Regulation Of Protein Localization To Plasma Membrane (GO:1903077),1/20,0.155313436230427,0.279451503157044,0,0,6.24424834541444,11.6287263526142,AP2M1,1
Negative Regulation Of Reproductive Process (GO:2000242),1/20,0.155313436230427,0.279451503157044,0,0,6.24424834541444,11.6287263526142,GJA1,1
Negative Regulation Of Stem Cell Population Maintenance (GO:1902455),1/20,0.155313436230427,0.279451503157044,0,0,6.24424834541444,11.6287263526142,HDAC1,1
Ameboidal-Type Cell Migration (GO:0001667),1/20,0.155313436230427,0.279451503157044,0,0,6.24424834541444,11.6287263526142,PDLIM1,1
Negative Regulation Of Viral Life Cycle (GO:1903901),1/20,0.155313436230427,0.279451503157044,0,0,6.24424834541444,11.6287263526142,IFITM1,1
Calcium-Mediated Signaling Using Intracellular Calcium Source (GO:0035584),1/20,0.155313436230427,0.279451503157044,0,0,6.24424834541444,11.6287263526142,CLU,1
Cell Projection Organization (GO:0030030),1/20,0.155313436230427,0.279451503157044,0,0,6.24424834541444,11.6287263526142,NCKAP1,1
Response To Fibroblast Growth Factor (GO:0071774),1/20,0.155313436230427,0.279451503157044,0,0,6.24424834541444,11.6287263526142,ZFP36L2,1
Positive Regulation Of Lipid Storage (GO:0010884),1/20,0.155313436230427,0.279451503157044,0,0,6.24424834541444,11.6287263526142,C3,1
Glutamate Metabolic Process (GO:0006536),1/20,0.155313436230427,0.279451503157044,0,0,6.24424834541444,11.6287263526142,GLS,1
Xenobiotic Transport (GO:0042908),1/20,0.155313436230427,0.279451503157044,0,0,6.24424834541444,11.6287263526142,GJA1,1
Positive Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904707),1/20,0.155313436230427,0.279451503157044,0,0,6.24424834541444,11.6287263526142,GJA1,1
Protein Deacylation (GO:0035601),1/20,0.155313436230427,0.279451503157044,0,0,6.24424834541444,11.6287263526142,HDAC1,1
Mesoderm Formation (GO:0001707),1/20,0.155313436230427,0.279451503157044,0,0,6.24424834541444,11.6287263526142,ITGA3,1
Microglial Cell Activation (GO:0001774),1/20,0.155313436230427,0.279451503157044,0,0,6.24424834541444,11.6287263526142,CLU,1
protein-DNA Complex Disassembly (GO:0032986),1/20,0.155313436230427,0.279451503157044,0,0,6.24424834541444,11.6287263526142,SMARCE1,1
Protein Autophosphorylation (GO:0046777),3/162,0.155837758869558,0.280056262316306,0,0,2.24962835906232,4.18192373722624,DAPK1;ERBB2;ACVR1B,1
Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043281),2/84,0.157093483776811,0.281632655252886,0,0,2.9018513076697,5.3710778287049,DAPK1;TNFSF10,1
Positive Regulation Of Double-Strand Break Repair (GO:2000781),2/84,0.157093483776811,0.281632655252886,0,0,2.9018513076697,5.3710778287049,SMARCE1;ARID1A,1
Regulation Of Osteoblast Differentiation (GO:0045667),2/85,0.160039136825861,0.284854348800098,0,0,2.86674408477283,5.25284093641166,IFITM1;LTF,1
Positive Regulation Of Endothelial Cell Migration (GO:0010595),2/85,0.160039136825861,0.284854348800098,0,0,2.86674408477283,5.25284093641166,PRKCA;RHOB,1
Epidermis Development (GO:0008544),2/85,0.160039136825861,0.284854348800098,0,0,2.86674408477283,5.25284093641166,HDAC1;FLOT2,1
Establishment Of Protein Localization To Organelle (GO:0072594),2/85,0.160039136825861,0.284854348800098,0,0,2.86674408477283,5.25284093641166,KPNA6;PTTG1IP,1
Positive Regulation Of Protein Localization (GO:1903829),2/85,0.160039136825861,0.284854348800098,0,0,2.86674408477283,5.25284093641166,RTN4;JAK1,1
Negative Regulation Of Cell Cycle (GO:0045786),2/85,0.160039136825861,0.284854348800098,0,0,2.86674408477283,5.25284093641166,BTG2;RHOB,1
Negative Regulation Of Osteoclast Differentiation (GO:0045671),1/21,0.162415895462553,0.285667674288745,0,0,5.93173652694611,10.7814945197071,LTF,1
Regulation Of Lipid Storage (GO:0010883),1/21,0.162415895462553,0.285667674288745,0,0,5.93173652694611,10.7814945197071,C3,1
Aminoglycan Biosynthetic Process (GO:0006023),1/21,0.162415895462553,0.285667674288745,0,0,5.93173652694611,10.7814945197071,UGDH,1
Peptide Catabolic Process (GO:0043171),1/21,0.162415895462553,0.285667674288745,0,0,5.93173652694611,10.7814945197071,ANPEP,1
Chaperone-Mediated Protein Complex Assembly (GO:0051131),1/21,0.162415895462553,0.285667674288745,0,0,5.93173652694611,10.7814945197071,CLU,1
Positive Regulation Of Amyloid Precursor Protein Catabolic Process (GO:1902993),1/21,0.162415895462553,0.285667674288745,0,0,5.93173652694611,10.7814945197071,CLU,1
Skin Epidermis Development (GO:0098773),1/21,0.162415895462553,0.285667674288745,0,0,5.93173652694611,10.7814945197071,LSR,1
Innate Immune Response In Mucosa (GO:0002227),1/21,0.162415895462553,0.285667674288745,0,0,5.93173652694611,10.7814945197071,LTF,1
Positive Regulation Of Smoothened Signaling Pathway (GO:0045880),1/21,0.162415895462553,0.285667674288745,0,0,5.93173652694611,10.7814945197071,DCDC2,1
Mitochondrial Calcium Ion Homeostasis (GO:0051560),1/21,0.162415895462553,0.285667674288745,0,0,5.93173652694611,10.7814945197071,MICU2,1
Negative Regulation Of Angiogenesis (GO:0016525),2/86,0.162995011653625,0.286347789067998,0,0,2.8324727481354,5.13820663339792,COL4A2;HSPG2,1
Double-Strand Break Repair (GO:0006302),3/168,0.167992956416153,0.292184209303868,0,0,2.16716253443526,3.86585653626454,BABAM2;VCP;HMGB2,1
Regulation Of Double-Strand Break Repair (GO:2000779),2/88,0.168935926844254,0.292184209303868,0,0,2.76632109834688,4.91917112021583,SMARCE1;ARID1A,1
Regulation Of Endothelial Cell Migration (GO:0010594),2/88,0.168935926844254,0.292184209303868,0,0,2.76632109834688,4.91917112021583,PRKCA;RHOB,1
Negative Regulation Of Neuron Death (GO:1901215),2/88,0.168935926844254,0.292184209303868,0,0,2.76632109834688,4.91917112021583,SOD2;CLU,1
Negative Regulation Of Protein Kinase Activity (GO:0006469),2/88,0.168935926844254,0.292184209303868,0,0,2.76632109834688,4.91917112021583,ADAR;WARS1,1
Positive Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120034),2/88,0.168935926844254,0.292184209303868,0,0,2.76632109834688,4.91917112021583,NCKAP1;AGRN,1
NAD Metabolic Process (GO:0019674),1/22,0.169458986982015,0.292184209303868,0,0,5.6489877388081,10.0277686460028,VCP,1
Negative Regulation Of Protein Localization To Nucleus (GO:1900181),1/22,0.169458986982015,0.292184209303868,0,0,5.6489877388081,10.0277686460028,CTNNA1,1
Response To Gamma Radiation (GO:0010332),1/22,0.169458986982015,0.292184209303868,0,0,5.6489877388081,10.0277686460028,TP53,1
Cytoskeleton-Dependent Intracellular Transport (GO:0030705),1/22,0.169458986982015,0.292184209303868,0,0,5.6489877388081,10.0277686460028,HOOK1,1
Dendritic Cell Differentiation (GO:0097028),1/22,0.169458986982015,0.292184209303868,0,0,5.6489877388081,10.0277686460028,CLU,1
Glucose Transmembrane Transport (GO:1904659),1/22,0.169458986982015,0.292184209303868,0,0,5.6489877388081,10.0277686460028,SLC2A1,1
Hexose Transmembrane Transport (GO:0008645),1/22,0.169458986982015,0.292184209303868,0,0,5.6489877388081,10.0277686460028,SLC2A1,1
Postreplication Repair (GO:0006301),1/22,0.169458986982015,0.292184209303868,0,0,5.6489877388081,10.0277686460028,VCP,1
Modulation By Host Of Viral Process (GO:0044788),1/22,0.169458986982015,0.292184209303868,0,0,5.6489877388081,10.0277686460028,LTF,1
Negative Regulation Of Axonogenesis (GO:0050771),1/22,0.169458986982015,0.292184209303868,0,0,5.6489877388081,10.0277686460028,RTN4,1
Cytokine-Mediated Signaling Pathway (GO:0019221),4/257,0.170846132265108,0.294235005567686,0,0,1.88749638484527,3.3351908966638,CXCL1;ACTN4;TP53;JAK1,1
Cellular Response To Chemical Stress (GO:0062197),2/89,0.171920231094128,0.294666091631361,0,0,2.73438581913862,4.81450060310702,SOD2;ZFP36L2,1
Cellular Response To Peptide Hormone Stimulus (GO:0071375),2/89,0.171920231094128,0.294666091631361,0,0,2.73438581913862,4.81450060310702,PKM;RAB13,1
Regulation Of Vesicle-Mediated Transport (GO:0060627),2/89,0.171920231094128,0.294666091631361,0,0,2.73438581913862,4.81450060310702,SEPTIN2;RAB13,1
Regulation Of Cellular Response To Transforming Growth Factor Beta Stimulus (GO:1903844),1/23,0.176443204061521,0.294666091631361,0,0,5.39194338595536,9.35370745831293,ITGA3,1
Negative Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0042059),1/23,0.176443204061521,0.294666091631361,0,0,5.39194338595536,9.35370745831293,GPRC5A,1
Regulation Of Extracellular Matrix Organization (GO:1903053),1/23,0.176443204061521,0.294666091631361,0,0,5.39194338595536,9.35370745831293,LAMC1,1
Negative Regulation Of Neuron Differentiation (GO:0045665),1/23,0.176443204061521,0.294666091631361,0,0,5.39194338595536,9.35370745831293,HES1,1
Negative Regulation Of Oxidative Stress-Induced Cell Death (GO:1903202),1/23,0.176443204061521,0.294666091631361,0,0,5.39194338595536,9.35370745831293,SOD2,1
Negative Regulation Of Protein Tyrosine Kinase Activity (GO:0061099),1/23,0.176443204061521,0.294666091631361,0,0,5.39194338595536,9.35370745831293,GPRC5A,1
Regulation Of Myotube Differentiation (GO:0010830),1/23,0.176443204061521,0.294666091631361,0,0,5.39194338595536,9.35370745831293,HDAC1,1
Artery Development (GO:0060840),1/23,0.176443204061521,0.294666091631361,0,0,5.39194338595536,9.35370745831293,HES1,1
"Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:1900151)",1/23,0.176443204061521,0.294666091631361,0,0,5.39194338595536,9.35370745831293,ZFP36L2,1
Cell-Cell Signaling By Wnt (GO:0198738),1/23,0.176443204061521,0.294666091631361,0,0,5.39194338595536,9.35370745831293,CD24,1
Cellular Response To Interleukin-6 (GO:0071354),1/23,0.176443204061521,0.294666091631361,0,0,5.39194338595536,9.35370745831293,JAK1,1
Regulation Of Toll-Like Receptor 4 Signaling Pathway (GO:0034143),1/23,0.176443204061521,0.294666091631361,0,0,5.39194338595536,9.35370745831293,LTF,1
Positive Regulation Of Lamellipodium Assembly (GO:0010592),1/23,0.176443204061521,0.294666091631361,0,0,5.39194338595536,9.35370745831293,NCKAP1,1
Glial Cell Development (GO:0021782),1/23,0.176443204061521,0.294666091631361,0,0,5.39194338595536,9.35370745831293,S100A9,1
Translesion Synthesis (GO:0019985),1/23,0.176443204061521,0.294666091631361,0,0,5.39194338595536,9.35370745831293,VCP,1
Positive Regulation Of Morphogenesis Of An Epithelium (GO:1905332),1/23,0.176443204061521,0.294666091631361,0,0,5.39194338595536,9.35370745831293,GJA1,1
Heparan Sulfate Proteoglycan Biosynthetic Process (GO:0015012),1/23,0.176443204061521,0.294666091631361,0,0,5.39194338595536,9.35370745831293,UGDH,1
Hepaticobiliary System Development (GO:0061008),1/23,0.176443204061521,0.294666091631361,0,0,5.39194338595536,9.35370745831293,LSR,1
Positive Regulation Of Protein Targeting To Membrane (GO:0090314),1/23,0.176443204061521,0.294666091631361,0,0,5.39194338595536,9.35370745831293,ERBB2,1
Protein Localization To Cell Junction (GO:1902414),1/23,0.176443204061521,0.294666091631361,0,0,5.39194338595536,9.35370745831293,JAK1,1
Microtubule Nucleation (GO:0007020),1/23,0.176443204061521,0.294666091631361,0,0,5.39194338595536,9.35370745831293,TUBGCP2,1
Negative Regulation Of Actin Filament Polymerization (GO:0030837),1/23,0.176443204061521,0.294666091631361,0,0,5.39194338595536,9.35370745831293,TMSB10,1
Regulation Of Cardiac Muscle Hypertrophy (GO:0010611),1/23,0.176443204061521,0.294666091631361,0,0,5.39194338595536,9.35370745831293,PRKCA,1
Regulation Of Cell Junction Assembly (GO:1901888),1/23,0.176443204061521,0.294666091631361,0,0,5.39194338595536,9.35370745831293,CLDN3,1
Regulation Of Epithelial Cell Proliferation (GO:0050678),2/91,0.177914733272824,0.296458144580025,0,0,2.67266820089346,4.61423034069954,ERBB2;LAMC1,1
Positive Regulation Of Binding (GO:0051099),2/91,0.177914733272824,0.296458144580025,0,0,2.67266820089346,4.61423034069954,HMGB2;HES1,1
Positive Regulation Of Neuron Projection Development (GO:0010976),2/92,0.180924227288033,0.298200137059939,0,0,2.64283801874163,4.5183992937987,PLXNB2;S100A9,1
Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123),3/175,0.182509830855408,0.298200137059939,0,0,2.07822410147992,3.5349578618065,GJA1;TNFSF10;LTF,1
Regulation Of Cysteine-Type Endopeptidase Activity (GO:2000116),1/24,0.183369035893712,0.298200137059939,0,0,5.15725071595939,8.74801008085748,LTF,1
Regulation Of Cytoplasmic Translation (GO:2000765),1/24,0.183369035893712,0.298200137059939,0,0,5.15725071595939,8.74801008085748,PKM,1
ERK1 And ERK2 Cascade (GO:0070371),1/24,0.183369035893712,0.298200137059939,0,0,5.15725071595939,8.74801008085748,ZFP36L2,1
Regulation Of Execution Phase Of Apoptosis (GO:1900117),1/24,0.183369035893712,0.298200137059939,0,0,5.15725071595939,8.74801008085748,TP53,1
Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034114),1/24,0.183369035893712,0.298200137059939,0,0,5.15725071595939,8.74801008085748,FLOT2,1
Neuromuscular Junction Development (GO:0007528),1/24,0.183369035893712,0.298200137059939,0,0,5.15725071595939,8.74801008085748,TNC,1
Regulation Of Muscle Cell Differentiation (GO:0051147),1/24,0.183369035893712,0.298200137059939,0,0,5.15725071595939,8.74801008085748,LAMC1,1
Regulation Of Neuroblast Proliferation (GO:1902692),1/24,0.183369035893712,0.298200137059939,0,0,5.15725071595939,8.74801008085748,VCAN,1
Cell Morphogenesis Involved In Differentiation (GO:0000904),1/24,0.183369035893712,0.298200137059939,0,0,5.15725071595939,8.74801008085748,CLDN3,1
Regulation Of Ruffle Assembly (GO:1900027),1/24,0.183369035893712,0.298200137059939,0,0,5.15725071595939,8.74801008085748,TACSTD2,1
Positive Regulation Of ERBB Signaling Pathway (GO:1901186),1/24,0.183369035893712,0.298200137059939,0,0,5.15725071595939,8.74801008085748,RTN4,1
Regulation Of Viral Life Cycle (GO:1903900),1/24,0.183369035893712,0.298200137059939,0,0,5.15725071595939,8.74801008085748,KPNA6,1
Response To Purine-Containing Compound (GO:0014074),1/24,0.183369035893712,0.298200137059939,0,0,5.15725071595939,8.74801008085748,CLU,1
Dicarboxylic Acid Transport (GO:0006835),1/24,0.183369035893712,0.298200137059939,0,0,5.15725071595939,8.74801008085748,GJA1,1
Early Endosome To Late Endosome Transport (GO:0045022),1/24,0.183369035893712,0.298200137059939,0,0,5.15725071595939,8.74801008085748,HOOK1,1
Endosome Transport Via Multivesicular Body Sorting Pathway (GO:0032509),1/24,0.183369035893712,0.298200137059939,0,0,5.15725071595939,8.74801008085748,VCP,1
Gliogenesis (GO:0042063),1/24,0.183369035893712,0.298200137059939,0,0,5.15725071595939,8.74801008085748,VCAN,1
Positive Regulation Of Vascular Endothelial Growth Factor Production (GO:0010575),1/24,0.183369035893712,0.298200137059939,0,0,5.15725071595939,8.74801008085748,C3,1
Protein Exit From Endoplasmic Reticulum (GO:0032527),1/24,0.183369035893712,0.298200137059939,0,0,5.15725071595939,8.74801008085748,VCP,1
Mononuclear Cell Differentiation (GO:1903131),1/24,0.183369035893712,0.298200137059939,0,0,5.15725071595939,8.74801008085748,CLU,1
Regulation Of Endothelial Cell Proliferation (GO:0001936),2/93,0.183941422692072,0.298804407167908,0,0,2.61366344498875,4.42529270710623,HMGB2;PRKCA,1
Positive Regulation Of Hydrolase Activity (GO:0051345),3/176,0.184610946606131,0.299564982060984,0,0,2.06610614818707,3.49069596461791,ERBB2;HMGB2;AGRN,1
Sphingolipid Metabolic Process (GO:0006665),2/94,0.186965980552777,0.302427999875939,0,0,2.58512310110005,4.33480835265569,PPP2R1A;DEGS1,1
Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),7/557,0.189189827685518,0.302427999875939,0,0,1.52426877470356,2.5379141994176,MECOM;HDAC1;HMGB2;SPP1;HNF1B;ARID1A;TP53,1
Negative Regulation Of Protein Localization To Membrane (GO:1905476),1/25,0.190236967663897,0.302427999875939,0,0,4.94211576846307,8.20136592691404,AP2M1,1
Regulation Of Keratinocyte Proliferation (GO:0010837),1/25,0.190236967663897,0.302427999875939,0,0,4.94211576846307,8.20136592691404,CDH3,1
Negative Regulation Of Protein Transport (GO:0051224),1/25,0.190236967663897,0.302427999875939,0,0,4.94211576846307,8.20136592691404,ERP29,1
Negative Regulation Of Response To Endoplasmic Reticulum Stress (GO:1903573),1/25,0.190236967663897,0.302427999875939,0,0,4.94211576846307,8.20136592691404,CLU,1
Negative Regulation Of Response To Wounding (GO:1903035),1/25,0.190236967663897,0.302427999875939,0,0,4.94211576846307,8.20136592691404,CLDN3,1
Negative Regulation Of Signaling Receptor Activity (GO:2000272),1/25,0.190236967663897,0.302427999875939,0,0,4.94211576846307,8.20136592691404,GPRC5A,1
Negative Regulation Of Smoothened Signaling Pathway (GO:0045879),1/25,0.190236967663897,0.302427999875939,0,0,4.94211576846307,8.20136592691404,VCP,1
Negative Regulation Of Stress Fiber Assembly (GO:0051497),1/25,0.190236967663897,0.302427999875939,0,0,4.94211576846307,8.20136592691404,TACSTD2,1
Regulation Of Platelet Aggregation (GO:0090330),1/25,0.190236967663897,0.302427999875939,0,0,4.94211576846307,8.20136592691404,PRKCA,1
Cardiac Conduction System Development (GO:0003161),1/25,0.190236967663897,0.302427999875939,0,0,4.94211576846307,8.20136592691404,GJA1,1
Sodium Ion Homeostasis (GO:0055078),1/25,0.190236967663897,0.302427999875939,0,0,4.94211576846307,8.20136592691404,TMPRSS4,1
Ventricular Cardiac Muscle Tissue Development (GO:0003229),1/25,0.190236967663897,0.302427999875939,0,0,4.94211576846307,8.20136592691404,TPM1,1
Vesicle-Mediated Transport Between Endosomal Compartments (GO:0098927),1/25,0.190236967663897,0.302427999875939,0,0,4.94211576846307,8.20136592691404,HOOK1,1
Mitotic Cell Cycle Checkpoint Signaling (GO:0007093),1/25,0.190236967663897,0.302427999875939,0,0,4.94211576846307,8.20136592691404,BABAM2,1
Regulation Of B Cell Activation (GO:0050864),1/25,0.190236967663897,0.302427999875939,0,0,4.94211576846307,8.20136592691404,ZFP36L2,1
Regulation Of Actin Cytoskeleton Reorganization (GO:2000249),1/25,0.190236967663897,0.302427999875939,0,0,4.94211576846307,8.20136592691404,CLU,1
Regulation Of Cell Cycle Phase Transition (GO:1901987),1/25,0.190236967663897,0.302427999875939,0,0,4.94211576846307,8.20136592691404,TP53,1
Positive Regulation Of Supramolecular Fiber Organization (GO:1902905),2/96,0.193035853170994,0.306549999486061,0,0,2.52986413740067,4.16132125161692,NCKAP1;CLU,1
Fc Receptor Signaling Pathway (GO:0038093),1/26,0.197047480505057,0.307666999991107,0,0,4.74419161676647,7.70604054885606,PIGR,1
Regulation Of Epidermal Growth Factor-Activated Receptor Activity (GO:0007176),1/26,0.197047480505057,0.307666999991107,0,0,4.74419161676647,7.70604054885606,GPRC5A,1
Negative Regulation Of Receptor-Mediated Endocytosis (GO:0048261),1/26,0.197047480505057,0.307666999991107,0,0,4.74419161676647,7.70604054885606,ANXA2,1
Calcium-Ion Regulated Exocytosis (GO:0017156),1/26,0.197047480505057,0.307666999991107,0,0,4.74419161676647,7.70604054885606,SDF4,1
Cardiac Muscle Cell Development (GO:0055013),1/26,0.197047480505057,0.307666999991107,0,0,4.74419161676647,7.70604054885606,OBSL1,1
Regulation Of Reactive Oxygen Species Biosynthetic Process (GO:1903426),1/26,0.197047480505057,0.307666999991107,0,0,4.74419161676647,7.70604054885606,CYBA,1
Cell-Cell Adhesion Mediated By Cadherin (GO:0044331),1/26,0.197047480505057,0.307666999991107,0,0,4.74419161676647,7.70604054885606,CDH3,1
Regulation Of Transcription By RNA Polymerase III (GO:0006359),1/26,0.197047480505057,0.307666999991107,0,0,4.74419161676647,7.70604054885606,ZFP36L2,1
Regulation Of Vascular Endothelial Growth Factor Production (GO:0010574),1/26,0.197047480505057,0.307666999991107,0,0,4.74419161676647,7.70604054885606,C3,1
Cellular Response To Xenobiotic Stimulus (GO:0071466),1/26,0.197047480505057,0.307666999991107,0,0,4.74419161676647,7.70604054885606,TP53,1
Response To Glucocorticoid (GO:0051384),1/26,0.197047480505057,0.307666999991107,0,0,4.74419161676647,7.70604054885606,ZFP36L2,1
Dendritic Spine Organization (GO:0097061),1/26,0.197047480505057,0.307666999991107,0,0,4.74419161676647,7.70604054885606,ITGA3,1
Positive Regulation Of Monooxygenase Activity (GO:0032770),1/26,0.197047480505057,0.307666999991107,0,0,4.74419161676647,7.70604054885606,CDH3,1
Protein Targeting To Lysosome (GO:0006622),1/26,0.197047480505057,0.307666999991107,0,0,4.74419161676647,7.70604054885606,CLU,1
Negative Regulation Of Catalytic Activity (GO:0043086),1/26,0.197047480505057,0.307666999991107,0,0,4.74419161676647,7.70604054885606,TP53,1
Regulation Of Cardiac Muscle Cell Contraction (GO:0086004),1/26,0.197047480505057,0.307666999991107,0,0,4.74419161676647,7.70604054885606,JUP,1
Negative Regulation Of Macromolecule Biosynthetic Process (GO:0010558),2/98,0.199131234124098,0.309620978450008,0,0,2.47690763052209,3.99721174639209,BTG2;DAPK1,1
MAPK Cascade (GO:0000165),2/98,0.199131234124098,0.309620978450008,0,0,2.47690763052209,3.99721174639209,PPP1CB;ZFP36L2,1
RNA Splicing (GO:0008380),2/98,0.199131234124098,0.309620978450008,0,0,2.47690763052209,3.99721174639209,PPP2R1A;HNRNPH3,1
Mitochondrial Translation (GO:0032543),2/98,0.199131234124098,0.309620978450008,0,0,2.47690763052209,3.99721174639209,MRPL53;MRPL19,1
Axon Development (GO:0061564),2/99,0.202187695811543,0.312635015310295,0,0,2.45124829213762,3.91846459167834,L1CAM;RTN4,1
Cellular Response To Insulin Stimulus (GO:0032869),2/99,0.202187695811543,0.312635015310295,0,0,2.45124829213762,3.91846459167834,PKM;RAB13,1
DNA Synthesis Involved In DNA Repair (GO:0000731),1/27,0.203801051647168,0.312635015310295,0,0,4.56149239981575,7.25555997850712,VCP,1
Regulation Of Peptidase Activity (GO:0052547),1/27,0.203801051647168,0.312635015310295,0,0,4.56149239981575,7.25555997850712,HDAC1,1
Cell Surface Receptor Signaling Pathway Involved In Cell-Cell Signaling (GO:1905114),1/27,0.203801051647168,0.312635015310295,0,0,4.56149239981575,7.25555997850712,CD24,1
